smile,activity,Difference_set
CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N,Inactive,0
C1=CC=C(C=C1)C(CCI)(C2=CC=CC=C2)C3=CC=CC=C3,Inactive,0
CN(C)CCC(=O)C1=CC=CC=C1.Cl,Inactive,0
C1=CC=NC(=C1)C(=O)O,Inactive,0
C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,0
C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,Inactive,0
C1=CC=C(C=C1)C(=O)/C=C/C2=CN=CC=C2,Inactive,0
C1=CC=C(C=C1)C(=O)/C=C/C2=CC=CC=N2,Inactive,0
C1=CC=C(C=C1)/C=C\2/C(=O)OC(=N2)C3=CC=CC=C3,Inactive,0
C1=CC=C(C=C1)CCCC(=O)O,Inactive,0
C1=CC=C(C=C1)OC2=CC=C(C=C2)CCCC3=C(C4=CC=CC=C4C(=O)C3=O)O,Inactive,0
C(CNCCNCCN)N,Inactive,0
CCC(C)(C)C1=CC(=C(C=C1O)C(C)(C)CC)O,Inactive,0
CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,Inactive,0
C1=CC=C(C=C1)CC2(C(=O)NC(=O)N2)C3=CN=CC=C3,Inactive,0
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2OCC(=O)O,Inactive,0
C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2.I,Inactive,0
CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br)[N+](=O)[O-],Inactive,0
C1C(O1)C2CO2,Inactive,0
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Inactive,0
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Inactive,0
C(C(C(=O)O)N)OC(=O)C=[N+]=N,Active,0
C12=NNN=C1N=C(NC2=O)N,Inactive,0
CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Inactive,0
CN(CCCl)CCCl.Cl,Inactive,0
C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=N2,Inactive,0
C1=CN=CC=C1/C=C/C(=O)O,Inactive,0
CC1=CCC(CC1)C(=C)C,Inactive,0
CN(C)C1=C(C=C(C=C1)C(=O)C2=CC(=C(C=C2)N(C)C)N)N,Inactive,0
CC(C)N(CC(=O)O)CC(=O)O,Inactive,0
C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)[N+](=O)[O-],Active,0
C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)C(=O)O,Inactive,0
C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=CC=C4C(=O)O,Inactive,0
C1=CC=C(C=C1)NC(C2=CC=C(C=C2)[N+](=O)[O-])C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,0
CC1=CC(=NC=C1)NC(C2=CC=CC=C2)C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,0
C1CCC(C1)(C(=O)O)N,Inactive,0
CC(C)(C(=O)C(Br)Br)Br,Inactive,0
CCN(CC(=O)O)CC(=O)O,Inactive,0
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,Inactive,0
CC(CC1=CC=CC=C1OC)N.Cl,Inactive,0
C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)N,Inactive,0
COCCO,Inactive,0
C1=NNC2=C1C(=O)NC=N2,Inactive,0
C1=NNC2=NC=NC(=C21)N,Inactive,0
CN1C2=C(C=N1)C(=NC=N2)Cl,Inactive,0
CCCCNC1=C2C=NN(C2=NC=N1)C3=CC=CC=C3,Inactive,0
CN1C2=NC=NC(=C2C=N1)NCC3=CC=CC=C3,Inactive,0
C1=CC2=C(NN=C2C=C1)CC(C(=O)O)N,Inactive,0
C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)[N+](=O)[O-],Inactive,0
CN(C)C1=CC=C(C=C1)N,Inactive,0
C1=CC=C(C=C1)OC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Inactive,0
CCCCCCC1=C(C=C(C=C1)O)O,Inactive,0
C1=CC=C(C(=C1)/C=N/NC(=O)N)O,Inactive,0
C[C@H](CCC(=O)O)[C@H]1CC[C@@]2([C@@]1(CC(=O)[C@H]3[C@H]2C(=O)C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,Inactive,0
C1=COC(=C1)CNC2=NC=NC3=C2C=NN3,Inactive,0
C(C(C(C(C1C(C(C(=O)O1)O)O)O)O)O)O,Inactive,0
C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)CCC(=O)NN,Inactive,0
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Inactive,0
CCOC1=C(C=CC(=C1)C=O)O,Inactive,0
C[N+](C)(C)CCC1=CC=CC=C1.[I-],Inactive,0
C1=CC=C(C=C1)OCC(=O)N,Inactive,0
C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Inactive,0
C1(=O)NC(=O)NN1,Inactive,0
C1(=NC(=NN1)N)N,Inactive,0
C1=CN=C(C(=N1)C(=O)O)C(=O)O,Inactive,0
C1(=NN=C(N1N)N)N.Br,Inactive,0
CCOC(=O)C(C1=CC=CC=C1)C(=O)CC2=CC=CC=C2,Inactive,0
