,smile,activity
0,C1CCN(C1)CCN(C2=CC=CC=C2)C(=NC3=CC=CC=C3)N4CCCC4,Inactive
1,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3C/C(=C/C5=CC(=C(C(=C5)OC)OC)OC)/C(=O)N4)C,Inactive
2,CN(C)CCNC(=O)C1=CC2=C(C=C1)N3C(=CC4=CC=CC=C4C3=O)O2,Inactive
3,C1C2CC3(CC1CC(C2)(C3)O)CC(=O)O,Inactive
4,CC1C(=O)[C@@]2(C(=C[C@@H]3[C@@]([C@@]2(C1=O)C(=O)OC)(CC[C@H]4[C@]3(CC[C@@H](C4(C)C)OC(=O)C)C=O)C)C)C,Inactive
5,CN1C(=C(C(=O)N(C1=O)C)C=NC2=C(C=C(C=C2)Cl)Cl)O,Inactive
6,CC(C)NC(=O)OCC1=C2C(CCN2N=N1)OC(=O)C,Inactive
7,CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4(C2=O)O7)COC6=O)C,Active
8,C1CC(N2CCN(C2C1)CCO)C3=CN4CCN(C4CC3)CCO,Inactive
9,CN(CCCNC(=O)C1=NN(C2=C1CC3=CC=CC=C32)C4=C(C=C(C=C4)Cl)Cl)CCCNC(=O)C5=NN(C6=C5CC7=CC=CC=C76)C8=C(C=C(C=C8)Cl)Cl,Inactive
10,COC(C(=O)C1=C2CCCCC2=CC3=C1CCC3)O,Inactive
11,C1[C@@H](C=C[C@]23C1N(CC2O)CC4=CC5=C(C=C34)OCO5)O,Inactive
12,CN1C2=CC=CC=C2N3C(=C4C=CC=CC4=C3C(=O)C5=CC=CC=C5)C1=O,Inactive
13,COC1=CC=C(C=C1)C2=NN(C(=N2)C3=NC=CN=C3)C4C(C(C(C(O4)CO)O)O)O,Inactive
14,C1COCCN1CCC(=O)/C=C/C2=CC=CC=C2.Cl,Inactive
15,CC(C)(C)C1CCC(=O)C(C1)C2CC(=O)N(C2=O)C3=CC=C(C=C3)OC,Inactive
16,C1=COC(=C1)/C=C/C=O,Inactive
17,CC1=CN=C(N1)C2=C3C(=C(C=C2)C4=C(C=C(C=C4)NC(=O)NC5=C(C=C(C=C5F)F)F)F)CNC3=O,Inactive
18,CC1=C2C/C(=C/C3=CC=CC(=C3C(=O)OC)C)/C(=O)C2=CC=C1,Inactive
19,C1=CN(C(=O)C(=C1)O)C2C(C(C(O2)CO)O)O.Cl,Inactive
20,C1=CC=C(C(=C1)/C=C/C(=O)C2=CC=CC=C2Cl)Cl,Inactive
21,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@@H]([C@@]5([C@H]4CC(CC5)(C)C)C)O)C)C)(C)C)O,Inactive
22,CC12CCC3(C(=C1CCC24OCCO4)OC(=O)C5=CC=CC=C5)OCCO3,Inactive
23,C1C(CC(=O)NC1=O)CC(C(COCC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4,Inactive
24,COC1=CC(=C(C=C1)NC(=O)C(=O)CC2=NC3=C(C=C(C=C3)C(=O)C4=CC=CC=C4)NC2=O)[N+](=O)[O-],Inactive
25,C1=CC=C(C=C1)/C=C/C=C/C(=O)C2=CC=C(C=C2)NC3=NC(=NC(=N3)NC4=CC=CC=C4)NC5=CC=CC=C5,Inactive
26,CN(C)C1=CC=C(C=C1)/C(=C\2/C3=CC=CC=C3C(=O)O2)/Br.Br,Inactive
27,COC1=CC=C(C=C1)CC2N3CCCCC3CC4(O2)CCCCC4,Inactive
28,CC1=NNC(=O)C1C(CC(=O)C2=CNC3=CC=CC=C32)C(=O)O,Inactive
29,C1=CC=C(C(=C1)/C=C/C(=O)C2=CC=CC=C2N)O,Inactive
30,C[C@H]1C[C@H](C2=C(C(=O)C(=O)C3=C2C1=C(C=C3C)O)C)C=C(C)C,Inactive
31,C1=CC(=CC=C1C(=O)CN(/C=C/C(=O)C(F)(F)F)C2=CC=C(C=C2)Cl)F,Inactive
32,CCCCCCCCCCCCCCCC(=O)N1CCCC1C(=O)NCC(=O)NC(CC2=CC=CC=C2)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)N4CCCC4C(=O)NCC(=O)N,Inactive
33,C1C2=CC3=C(C(=C2C(OC1=O)CC(=O)N)O)C(=O)C4=C(C3=O)C=CC=C4O,Inactive
34,CC1=CC2=NC3=C(C=CC(=C3N=C2C=C1C)/C(=N\NC(=O)C4=CC=CC=C4O)/C)/C(=N\NC(=O)C5=CC=CC=C5O)/C,Inactive
35,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Inactive
36,C1=CC=C2C(=C1)C=CC3=C2C=C4C(=CC(=O)NC4=O)O3,Inactive
37,COC1C(=[N+]=[N-])C(=O)NC(=O)N1C2C(C(C(O2)COC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)O)O,Inactive
38,C1=CC=C(C=C1)OCC2=NC3=CC(=C(C=C3O2)[N+](=O)[O-])Cl,Inactive
39,C1=CC2=C(C(=C1)/C=N/NC3=C(C=CC(=C3)Cl)[N+](=O)[O-])N=CC=C2,Inactive
40,C=CC1CC1(CO)COC2=CC(=NC(=N2)N)Cl,Inactive
41,COC1=CC2=C(C=C1)OC(=C2)C3=CC4=C(O3)C=CC(=C4)OC,Inactive
42,CC(=O)OCC1C(C(C(O1)N2C3=C(N=C2Br)N(C(=O)N(C3=O)C)C)OC(=O)C)OC(=O)C,Inactive
43,C1C2CC3CC1CC(C2)(C3)N=CC4=CC(=CC=C4)Br,Inactive
44,C[N+]1(CCOCC1)CCC[N+]2(CC3C4CCC(C3C2)C=C4)C.[I-],Inactive
45,CC\1=NN(C(=O)/C1=C/C2=CC(=C(C=C2)O)OC)C(=O)C3=CC=CC=C3O,Inactive
46,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C=CC(=C4C3=O)O)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)O)O)N(C)C)O,Active
47,C1=CC=C(C=C1)/C(=N/NC2=NC3=CC=CC=C3N=C2)/C4=CC=CC=N4,Active
48,C[C@H](C1CC1)NC2=NC(=NC3=CC=CC=C32)NC4=CC(=C(C=C4)F)Cl,Inactive
49,C1=CC=C(C=C1)C(C#N)C(=O)CCCC(=O)NC2=C(C=C(C=C2)Cl)Cl,Inactive
50,C[C@H]1CCC/C(=C/CCC(C(=O)CC2[C@H]([C@@H]1OC(=O)C)OC(=O)C2=C)C)/C,Inactive
51,COC1=CC2=C(C=C1)C=C(C=C2)NC(=O)NN3C=NN=C3,Inactive
52,CC1CC2(CC(=O)C1C3C2C(=O)N(C3=O)CCN4CCOCC4)C.Cl,Inactive
53,CC1CCC(=O)C(C1)C(=O)CC2CC(=O)NC(=O)C2,Inactive
54,C1CC2=C([C@@H]3[C@H]1C4=CC=CC=C4N3)NC5=CC=CC=C25,Inactive
55,CCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)N2C=C(C(=O)NC2=O)F)N)O)O,Inactive
56,CCOC(=O)C1=CC=CC(=O)C(=C1)C(=O)OCC,Inactive
57,CCN(CC)/C(=C\C1=CC(=CC=C1)C#N)/C(=O)OCC,Inactive
58,CC1=CC2=C(C(=C1C)C(=O)N)OC(=CC2=O)C3=CC=NC=C3,Inactive
59,CCOC1=CC2=C(C3=C(C=C(C=C3)N)N=C2C=C1)N.CC(C(=O)O)O,Inactive
60,CC1=NC2=CN3CCCCCC3=C2C(=O)N1,Inactive
61,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=CC3=C1)C(F)(F)F)C(F)(F)F)O.Cl,Inactive
62,COC1=C(C=C(C=C1)C(=O)C2=CC(=C(C(=C2OC)OC)OC)OC)O,Inactive
63,CCOC(=O)C(CC1=CC=C(C=C1)N(CCCl)CCCl)NC(=O)CCCN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,Inactive
64,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C(=O)C(=CC4=O)NC,Inactive
65,CC1=CC2=C3C(=C1)C(=NC4=C3C(=CC(=C4OC)OC)NC2=O)Cl,Inactive
66,C/C(=N/NC1=NC2=CC=CC=C2N1C)/C3=CC=CC=N3,Active
67,COC(=O)C1=CC=CC=C1C#CCCCCC#C,Inactive
68,C1=CC=C(C=C1)C2=N/C(=C\C3=CC=C(C=C3)Cl)/C(=O)N2NC(=O)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C5=NC6=CC=CC=C6N5,Inactive
69,CCC1=C(OC(=C(C1=O)C)OC)C2=CC=C(C=C2)OC,Inactive
70,CCC[N+]1=CC2=CC(=C(C=C2C3=C1C4=CC5=C(C=C4C3)OCO5)OC)OC.[Cl-],Inactive
71,C1=CC(=CC=C1/C=C/C(=O)C2=CC=C(C=C2)NC3=NC(=NC(=N3)NC4=CC=C(C=C4)F)NC5=CC=C(C=C5)F)Cl,Inactive
72,COC1=CC=C(C=C1)/C(=N/OC)/COC2=CC3=C(C=C2)C(=O)C=C(O3)C4=CC=CC=C4,Inactive
73,CC1=C(NC(C2(C1(C(=O)N3C2=NC(NC3C4=CC=CO4)C5=CC=CO5)C#N)C#N)C6=CC=CO6)C,Inactive
74,COCC(CN1C=CN=C1[N+](=O)[O-])O,Inactive
